INQ_YMD,PDLT_CODE,PDLT_NM,NTT_CN,NMYR_RATE,BFRT_RATE,WHSL_DAIL_PRCE,WHSL_TDP,WHSL_BFRT_PRCE,WHSL_BF_TDP,WHSL_PVYR_TDP,WHSL_NMYR_TDP,WHSL_DAIL_CRSS_STEP_NM,WHSL_DAIL_FMF_CTNU_CRSS_NBOT,WHSL_DAIL_FMF_CRSS_STEP_CODE,WHSL_TDBM_CRSS_STEP_NM,WHSL_TDBM_FMF_CRSS_STEP_CODE,WHSL_TDBM_FMF_CTNU_CRSS_NBOT,WHSL_MM_CRSS_STEP_NM,WHSL_MM_FMF_CRSS_STEP_CODE,WHSL_BF_YMD,WHSL_BF_TDBM_MM,WHSL_BF_TDBM_NM,WHSL_TDBM_MM,WHSL_TDBM_NM,WHSL_YMD,RTSL_DAIL_PRCE,RTSL_TDP,RTSL_BFRT_PRCE,RTSL_BF_TDP,RTSL_PVYR_TDP,RTSL_NMYR_TDP,RTSL_DAIL_CRSS_STEP_NM,RTSL_DAIL_FMF_CTNU_CRSS_NBOT,RTSL_DAIL_FMF_CRSS_STEP_CODE,RTSL_TDBM_CRSS_STEP_NM,RTSL_TDBM_FMF_CRSS_STEP_CODE,RTSL_TDBM_FMF_CTNU_CRSS_NBOT,RTSL_MM_CRSS_STEP_NM,RTSL_MM_FMF_CRSS_STEP_CODE,RTSL_BF_YMD,RTSL_BF_TDBM_MM,RTSL_BF_TDBM_NM,RTSL_TDBM_MM,RTSL_TDBM_NM,RTSL_YMD,ETL_LDG_DT
20260201,1001,배추,0,26.133,-2.249,2949.333,2982.458,3015.667,3201.000,4958.500,2338.000,안정,6.000,04,안정,04,1.000,상승심각,07,20260130,01,하순,02,상순,20260131,4911.667,4670.833,4917.500,4845.000,5073.344,3501.000,,0.000,,,,0.000,,,20260129,01,하순,02,상순,20260130,20260222220002
20260201,1101,무,0,30.071,-0.603,1475.300,1501.750,1484.200,1385.000,3026.250,1134.000,상승주의,5.000,05,상승주의,05,1.000,안정,04,20260130,01,하순,02,상순,20260131,2119.722,2002.941,2114.167,2109.000,3031.122,1889.000,,0.000,,,,0.000,,,20260129,01,하순,02,상순,20260130,20260222220002
20260201,1207,건고추,0,0.645,0.000,13104.000,13104.000,13104.000,13104.000,13092.000,13020.000,안정,145.000,04,안정,04,1.000,안정,04,20260129,01,하순,02,상순,20260130,17047.826,17059.006,17047.826,16982.000,17747.826,17539.000,,0.000,,,,0.000,,,20260129,01,하순,02,상순,20260130,20260222220002
20260201,1209,마늘,0,7.105,0.000,8050.000,8050.000,8050.000,8050.000,7454.167,7516.000,안정,102.000,04,안정,04,1.000,안정,04,20260129,01,하순,02,상순,20260130,10979.200,10555.171,11107.000,11060.000,10508.867,10907.000,,0.000,,,,0.000,,,20260129,01,하순,02,상순,20260130,20260222220002
20260201,1201,양파,0,-27.619,1.518,988.000,987.500,973.000,1022.000,1505.875,1365.000,하락주의,3.000,03,안정,04,1.000,안정,04,20260130,01,하순,02,상순,20260131,2286.600,2215.143,2298.200,2360.000,2751.567,2477.000,,0.000,,,,0.000,,,20260129,01,하순,02,상순,20260130,20260222220002
20260201,1202,대파,0,-39.736,4.378,1462.000,1658.125,1398.000,1468.000,2027.000,2426.000,안정,1.000,04,안정,04,1.000,안정,04,20260130,01,하순,02,상순,20260131,5031.951,5238.037,5035.854,5197.000,7307.867,6641.000,,0.000,,,,0.000,,,20260129,01,하순,02,상순,20260130,20260222220002
20260202,1001,배추,0,32.506,4.809,3098.333,2982.458,2949.333,3201.000,4958.500,2338.000,안정,7.000,04,안정,04,1.000,안정,04,20260131,01,하순,02,상순,20260202,4635.208,4670.833,4911.667,4845.000,5073.344,3501.000,,0.000,,,,0.000,,,20260130,01,하순,02,상순,20260202,20260223074503
20260202,1101,무,0,29.894,-0.156,1473.000,1501.750,1475.300,1385.000,3026.250,1134.000,상승주의,6.000,05,상승주의,05,1.000,상승경계,06,20260131,01,하순,02,상순,20260202,2023.947,2002.941,2119.722,2109.000,3031.122,1889.000,,0.000,,,,0.000,,,20260130,01,하순,02,상순,20260202,20260223074503
20260202,1207,건고추,0,0.645,0.000,13104.000,13104.000,13104.000,13104.000,13092.000,13020.000,안정,145.000,04,안정,04,1.000,안정,04,20260129,01,하순,02,상순,20260130,17047.826,17059.006,17047.826,16982.000,17747.826,17539.000,,0.000,,,,0.000,,,20260129,01,하순,02,상순,20260130,20260223074503
20260202,1209,마늘,0,7.105,0.000,8050.000,8050.000,8050.000,8050.000,7454.167,7516.000,안정,102.000,04,안정,04,1.000,안정,04,20260129,01,하순,02,상순,20260130,10979.200,10555.171,11107.000,11060.000,10508.867,10907.000,,0.000,,,,0.000,,,20260129,01,하순,02,상순,20260130,20260223074503
20260202,1201,양파,0,-26.886,1.002,998.000,987.500,988.000,1022.000,1505.875,1365.000,하락주의,4.000,03,하락주의,03,1.000,하락경계,02,20260131,01,하순,02,상순,20260202,2347.800,2215.143,2286.600,2360.000,2751.567,2477.000,,0.000,,,,0.000,,,20260130,01,하순,02,상순,20260202,20260223074503
20260202,1202,대파,0,-36.356,5.311,1544.000,1658.125,1462.000,1468.000,2027.000,2426.000,안정,2.000,04,안정,04,1.000,안정,04,20260131,01,하순,02,상순,20260202,5013.333,5238.037,5031.951,5197.000,7307.867,6641.000,,0.000,,,,0.000,,,20260130,01,하순,02,상순,20260202,20260223074503
20260203,1001,배추,0,30.582,-1.496,3052.667,2982.458,3098.333,3201.000,4958.500,2338.000,안정,8.000,04,안정,04,1.000,안정,04,20260202,01,하순,02,상순,20260203,4637.292,4670.833,4635.208,4845.000,5073.344,3501.000,,0.000,,,,0.000,,,20260202,01,하순,02,상순,20260203,20260223131502
20260203,1101,무,0,37.390,5.474,1558.300,1501.750,1473.000,1385.000,3026.250,1134.000,상승경계,1.000,06,상승주의,05,1.000,상승경계,06,20260202,01,하순,02,상순,20260203,2008.750,2002.941,2023.947,2109.000,3031.122,1889.000,,0.000,,,,0.000,,,20260202,01,하순,02,상순,20260203,20260223131502
20260203,1207,건고추,0,0.645,0.000,13104.000,13104.000,13104.000,13104.000,13092.000,13020.000,안정,146.000,04,안정,04,1.000,안정,04,20260130,01,하순,02,상순,20260202,17047.826,17059.006,17047.826,16982.000,17747.826,17539.000,,0.000,,,,0.000,,,20260130,01,하순,02,상순,20260202,20260223131502
20260203,1209,마늘,0,7.105,0.000,8050.000,8050.000,8050.000,8050.000,7454.167,7516.000,안정,103.000,04,안정,04,1.000,안정,04,20260130,01,하순,02,상순,20260202,10650.800,10555.171,10979.200,11060.000,10508.867,10907.000,,0.000,,,,0.000,,,20260130,01,하순,02,상순,20260202,20260223131502
20260203,1201,양파,0,-29.084,-3.099,968.000,987.500,998.000,1022.000,1505.875,1365.000,하락주의,5.000,03,하락주의,03,1.000,하락경계,02,20260202,01,하순,02,상순,20260203,2342.600,2215.143,2347.800,2360.000,2751.567,2477.000,,0.000,,,,0.000,,,20260202,01,하순,02,상순,20260203,20260223131502
